event_id,audit_role,f_obs_q05_hz,f_obs_q50_hz,f_obs_q95_hz,f_kerr_q05_hz,f_kerr_q50_hz,f_kerr_q95_hz,residual_q05_hz,residual_q50_hz,residual_q95_hz,p_residual_gt_0,tau_q05_s,tau_q50_s,tau_q95_s,Mf_q05_msun,Mf_q50_msun,Mf_q95_msun,chi_q05,chi_q50,chi_q95,ds_n_samples,kerr_n_samples,f_obs_width_hz,f_kerr_width_hz,residual_width_hz,relative_f_obs_width,relative_residual_width,high_positive_outlier,negative_control,near_zero,broad_DS_frequency,broad_residual_interval
S190708ap,top_positive_outlier,47.55061824687141,768.383629459296,919.9273054784784,319.355709392288,376.2178731693609,543.5211688871527,-326.25459996763067,368.2434861625391,565.8160511545083,0.7323,0.0021203523343396,0.0264089863730375,0.0478506774373025,25.098005514831605,37.94206155336048,56.61236538675949,0.0417483909344713,0.4043644539659634,0.8300594441046161,108761,55020,872.376687231607,224.1654594948647,892.070651122139,1.1353400225945598,2.4225021884796836,True,False,False,True,False
S190915ak,top_positive_outlier,38.87653509330952,508.2001261790017,955.9096496870968,176.90030476982162,202.91064154946787,222.42852070101185,-168.44670519036532,306.3326447688592,751.9352754807143,0.66676,0.0014138002691268,0.0157764575817599,0.046085633965437,59.60672007224278,73.80884894108743,95.89257192235458,0.0577154013933403,0.4573725386666515,0.8327460748160347,74068,59524,917.0331145937873,45.52821593119023,920.3819806710796,1.8044724260276623,3.0045181158069076,True,False,False,True,False
S170814,top_positive_outlier,194.90574310901525,525.4491681067102,855.6970761078549,219.84592982591377,255.4231730467777,295.7816226905819,-94.36497201270146,247.0464777508108,585.928436157021,0.7205,0.0054886529482701,0.0248714645505742,0.0473562694600083,48.31634127866645,61.61896592909101,84.2102796533123,0.0693426921567384,0.5433703927925071,0.9341156196906414,100948,52275,660.7913329988396,75.93569286466814,680.2934081697224,1.257574230024556,2.7537061623518317,True,False,False,True,False
S190727h,top_positive_outlier,73.91606482758797,350.58023209822227,936.641849303924,138.96093031349122,156.7302405112522,172.4092473756723,-79.18485477100914,193.7252578917317,780.6652848845645,0.87168,0.0030582967713453,0.0205148062516789,0.0465292223454947,80.7408946008371,101.46376731904913,129.00646255513902,0.078751770811598,0.5652830413001267,0.8883315058810519,58048,58045,862.725784476336,33.448317062181076,859.8501396555736,2.460851198919355,4.4385030068517075,True,False,False,True,False
S190408an,top_positive_outlier,46.08090473977256,464.24957138806366,966.452250492258,255.0931621712489,292.3191678952069,322.10277354769505,-242.3498222129284,180.1587522419554,675.1062120353391,0.7943,0.0012561766156103,0.0104140979834162,0.0425671697258949,42.101303875932494,56.523309210863296,76.39728140443988,0.0887357228367614,0.6212195947272138,0.919153833892918,64930,58366,920.3713457524855,67.00961137644614,917.4560342482675,1.9824926127570985,5.092486614339518,True,False,False,True,True
S170104,negative_control,126.37569931604185,219.0709814792043,297.7304734781673,227.9661639782718,259.8585709339483,286.47418682503275,-135.62653924730645,-38.82671601702506,46.79362291539376,0.23308,0.0008929156637486,0.0024212152777558,0.0173603442451245,52.27053135231673,70.2753224454529,88.17899838611145,0.2225762111971078,0.7511148123148093,0.9465119161049542,69012,71014,171.35477416212547,58.50802284676095,182.42016216270022,0.7821883711165626,4.698315512512341,False,True,False,True,False
S190512at,negative_control,180.55331208529887,214.57552096446332,740.364455511448,32.9123215459734,314.102095427696,476.910582883633,-273.84059984360005,-79.31437852770077,474.4107606853652,0.35168,0.0041994865213686,0.0229247681126828,0.0464983666348959,31.483141985965958,57.17328011538648,453.14989740439,0.0671964478988225,0.5984414998820484,0.951158743994117,82962,95946,559.8111434261491,443.99826133765964,748.2513605289653,2.608923613047462,9.433993866164334,False,True,False,True,True
S190910s,near_zero,154.55792846764828,165.30183022142387,173.91000276975197,154.38969284475948,162.3614845839889,168.08881438134813,-8.901020458046059,3.1389926403598736,14.866443051982612,0.69638,0.0068423736665028,0.0127578404131314,0.0289441798029064,102.84894547098548,128.6770555879113,148.4235740423715,0.6230110428252194,0.880211165952787,0.9570978800706964,61650,70135,19.352074302103688,13.699121536588649,23.76746351002867,0.11707114359339725,7.57168500634134,False,False,True,False,True
S190602aq,near_zero,73.45305787121075,96.72912873289926,108.78515368614411,85.48340360047214,93.88153396838872,100.93124877274694,-20.96076914874518,2.4096197888270225,17.574293220163387,0.59158,0.0049183394821125,0.0088297308494205,0.0214579073630821,160.20937265602137,195.14007361734,226.12254305548376,0.4539550637168262,0.762794869301864,0.8992136988537811,66773,69258,35.33209581493337,15.447845172274796,38.53506236890857,0.3652684178774817,15.992175424350673,False,False,True,False,True
S190521g,near_zero,61.59582430389112,64.92123660307357,67.969698868161,61.41371211471766,63.31497359342711,65.04769717530074,-2.136997795647493,1.606164064263556,5.232248870293494,0.76614,0.0147060054666187,0.0223135056023832,0.0347044129787601,331.61779614934665,363.8877266641591,395.1121674368424,0.8818365640581662,0.9352499221091832,0.965349008403666,59966,64861,6.373874564269883,3.633985060583079,7.369246665940987,0.098178576037292,4.588103313916358,False,False,True,False,False
S191109d,near_zero,100.9332212968892,105.61243208952044,111.37849265361976,102.1114967685634,105.55996735481966,109.16743075503295,-5.854656807588948,0.1129499379995238,6.76206651786648,0.51136,0.0118610086265457,0.0153327718228685,0.0200458810398043,205.0970027939708,222.15658174491605,239.75992499559797,0.9057199842208185,0.9432238557657504,0.9655241066688426,57667,71976,10.445271356730558,7.0559339864695545,12.616723325455428,0.09890191097840466,12.616723325455428,False,False,True,False,True
