event_id,layout_verified,verification_level,ds_path,ds_file_exists,ds_sha256,ds_dataset_path,ds_dataset_exists,ds_dataset_shape,ds_n_samples,ds_required_fields,ds_missing_fields,ds_dtype_fields,ds_error,kerr_path,kerr_file_exists,kerr_sha256,kerr_dataset_path,kerr_dataset_exists,kerr_dataset_shape,kerr_n_samples,kerr_required_fields,kerr_missing_fields,kerr_dtype_fields,kerr_error
S190708ap,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190708ap_pyring_DS_1mode_10M.h5,True,03710701a20ea5ddc68709be0fb0975fb8efb99f401358aa7fd277b77d83fb18,GWTC3_rerun_PROD1/posterior_samples,True,"(108761,)",108761,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190708ap_pyring_Kerr_220_0M.h5,True,285c35e39512bfb89f51779c3fca4bc0bd14465214d8d6e3a73cd0fffc566e3e,GWTC3_rerun_PROD1/posterior_samples,True,"(55020,)",55020,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S190727h,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190727h_pyring_DS_1mode_10M.h5,True,5ed61be2b788186e857c296b9aa2ac4d85b62223e75ff98bb53611e7066188ae,GWTC3_rerun_PROD1/posterior_samples,True,"(58048,)",58048,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190727h_pyring_Kerr_220_0M.h5,True,9e01343c93792dc8f996d644bf6da9d881e2d26cc3f444f7641f996063c9865d,GWTC3_rerun_PROD1/posterior_samples,True,"(58045,)",58045,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S190828j,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190828j_pyring_DS_1mode_10M.h5,True,fcf8b72e6f10691ee5ce638325d79c7ce9b14fa6523a67dc221ce696f2c372fd,GWTC3_rerun_PROD1/posterior_samples,True,"(78701,)",78701,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190828j_pyring_Kerr_220_0M.h5,True,86a29f539f2a426398346ba657b707f00df87cbddd780425b371f37dbb898ea9,GWTC3_rerun_PROD1/posterior_samples,True,"(86080,)",86080,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S190910s,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190910s_pyring_DS_1mode_10M.h5,True,1af431a77f4dcfff0df750b74bf04043fa4e4047112e768bdfbdc7d89903b6b1,GWTC3_rerun_PROD1/posterior_samples,True,"(61650,)",61650,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190910s_pyring_Kerr_220_0M.h5,True,99ffacb7063cd638fad610a7961a8d9e5650d5aef2b5a39d2cbbfde396d03e22,GWTC3_rerun_PROD1/posterior_samples,True,"(70135,)",70135,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S190915ak,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190915ak_pyring_DS_1mode_10M.h5,True,028f2cdc724ae71e533eb3714a9bbbdff5c4b17a6c05999b63ab75398ba023ca,GWTC3_rerun_PROD1/posterior_samples,True,"(74068,)",74068,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190915ak_pyring_Kerr_220_0M.h5,True,35aecfa0e24bc600ee72ed16b356d7f0290517817e672adc2ca082a0315860ba,GWTC3_rerun_PROD1/posterior_samples,True,"(59524,)",59524,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S191109d,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S191109d_pyring_DS_1mode_10M.h5,True,2aa1fb00201f9378f02e22727894fd59198af66990edb8e6107c7cd9dd2d5c5a,GWTC3_rerun_PROD1/posterior_samples,True,"(57667,)",57667,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S191109d_pyring_Kerr_220_0M.h5,True,93976a40aa733b02ff6aa94dd8be717b310917c40ec079d9d9583bba7f0a2cfd,GWTC3_rerun_PROD1/posterior_samples,True,"(71976,)",71976,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S191222n,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S191222n_pyring_DS_1mode_10M.h5,True,101cbe1f7f5cfecba2a99368acc2d12f827c639d13a052d0f0120cf0452d83c7,GWTC3_rerun_PROD1/posterior_samples,True,"(102499,)",102499,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S191222n_pyring_Kerr_220_0M.h5,True,95e22359dfdbb591b65134d901ea30598cd2a39ad4d661552b0a6b908de25dae,GWTC3_rerun_PROD1/posterior_samples,True,"(50832,)",50832,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S200129m,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200129m_pyring_DS_1mode_10M.h5,True,bb70a840d61fe88e2861180d7b0411068896a41d220536b0a4d4b8a0e48f0b28,GWTC3_rerun_PROD1/posterior_samples,True,"(60969,)",60969,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200129m_pyring_Kerr_220_0M.h5,True,4189c3a637aa23584fccf4278f52317d5738319c7949f89cf22dcd43255d2801,GWTC3_rerun_PROD1/posterior_samples,True,"(56325,)",56325,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S200224ca,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200224ca_pyring_DS_1mode_10M.h5,True,8f06e98c90cd4b59a066930b36e1d9aa06c3cc7395f310b9217daf951d53ecb1,GWTC3_rerun_PROD1/posterior_samples,True,"(60755,)",60755,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200224ca_pyring_Kerr_220_0M.h5,True,8bea1000891c56ac0d5f92485ac0273b4fc021ae4ec0b94658d280ab64248457,GWTC3_rerun_PROD1/posterior_samples,True,"(65534,)",65534,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S200311bg,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200311bg_pyring_DS_1mode_10M.h5,True,7a174b833cd7a56e8163b8e08a09d47de60f6ed57d3d79890fa1d31b1dda5841,GWTC3_rerun_PROD1/posterior_samples,True,"(47901,)",47901,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200311bg_pyring_Kerr_220_0M.h5,True,858fcbfe4701c6eed8e4b61c478f1021c3b99a4f977a3bb1a799aa6dbd55e511,GWTC3_rerun_PROD1/posterior_samples,True,"(53796,)",53796,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
